status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,target
no checking account,36,delay in paying off in the past,car (used),8947,unknown or no savings account,employed between 4 and 7 years,3,male single,none,2,car or other property,31,stores,own,1,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,good credit
checking account below 0 DM,21,existing credits paid back duly till now,radio or television,2606,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,28,none,rent,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
no checking account,12,critical account or other credits existing,furniture or equipment,1592,savings above 1000 DM,employed between 4 and 7 years,3,"female divorced, separated, or married",none,2,building society savings agreement or life insurance,35,none,own,1,skilled employee or official,1,no telephone,no,good credit
no checking account,15,existing credits paid back duly till now,furniture or equipment,2186,unknown or no savings account,employed between 4 and 7 years,1,"female divorced, separated, or married",none,4,real estate,33,bank,rent,1,unskilled resident,1,no telephone,yes,good credit
checking account below 0 DM,18,existing credits paid back duly till now,furniture or equipment,4153,savings below 100 DM,employed between 1 and 4 years,2,male single,co-applicant,3,car or other property,42,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,16,critical account or other credits existing,car (new),2625,savings below 100 DM,employed 7 years or more,2,male single,guarantor,4,building society savings agreement or life insurance,43,bank,rent,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,20,critical account or other credits existing,car (new),3485,unknown or no savings account,employed less than 1 year,2,male divorced or separated,none,4,real estate,44,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,36,critical account or other credits existing,car (used),10477,unknown or no savings account,employed 7 years or more,2,male single,none,4,unknown or no property,42,none,for free,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,15,existing credits paid back duly till now,radio or television,1386,unknown or no savings account,employed between 1 and 4 years,4,male married or widowed,none,2,real estate,40,none,rent,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,24,existing credits paid back duly till now,radio or television,1278,savings below 100 DM,employed 7 years or more,4,male single,none,1,real estate,36,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,radio or television,1107,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,real estate,20,none,rent,1,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,good credit
checking account below 0 DM,21,existing credits paid back duly till now,car (new),3763,unknown or no savings account,employed between 4 and 7 years,2,male single,co-applicant,2,real estate,24,none,own,1,unskilled resident,1,no telephone,no,good credit
checking account between 0 and 200 DM,36,existing credits paid back duly till now,education,3711,unknown or no savings account,employed between 1 and 4 years,2,male married or widowed,none,2,car or other property,27,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,15,delay in paying off in the past,car (used),3594,savings below 100 DM,employed less than 1 year,1,"female divorced, separated, or married",none,2,building society savings agreement or life insurance,46,none,own,2,unskilled resident,1,no telephone,yes,good credit
checking account between 0 and 200 DM,9,existing credits paid back duly till now,car (new),3195,unknown or no savings account,employed between 1 and 4 years,1,"female divorced, separated, or married",none,2,real estate,33,none,own,1,unskilled resident,1,no telephone,yes,good credit
no checking account,36,delay in paying off in the past,radio or television,4454,savings below 100 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,4,real estate,34,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,24,critical account or other credits existing,furniture or equipment,4736,savings below 100 DM,employed less than 1 year,2,"female divorced, separated, or married",none,4,car or other property,25,bank,own,1,unskilled resident,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,30,existing credits paid back duly till now,radio or television,2991,unknown or no savings account,employed 7 years or more,2,"female divorced, separated, or married",none,4,car or other property,25,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,11,existing credits paid back duly till now,business,2142,savings above 1000 DM,employed 7 years or more,1,male divorced or separated,none,2,real estate,28,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,24,all credits at this bank paid back duly,business,3161,savings below 100 DM,employed between 1 and 4 years,4,male single,none,2,building society savings agreement or life insurance,31,none,rent,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account between 0 and 200 DM,48,no credits taken or all credits paid back duly,others,18424,savings below 100 DM,employed between 1 and 4 years,1,"female divorced, separated, or married",none,2,building society savings agreement or life insurance,32,bank,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,no,bad credit
no checking account,10,existing credits paid back duly till now,car (used),2848,savings between 100 and 500 DM,employed between 1 and 4 years,1,male single,co-applicant,2,real estate,32,none,own,1,skilled employee or official,2,no telephone,yes,good credit
